"date","sport","league","away_team","home_team","team","spread","spread_handle","spread_bets","total","total_handle","total_bets","money","money_handle","money_bets","updated_at"
2026-08-15,MLB,MLB,Chicago White Sox,Detroit Tigers,Chicago White Sox,+1.5,0.14,0.53,"8",0.65,0.65,2.3,0.39,0.29,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,Chicago White Sox,Detroit Tigers,Detroit Tigers,-1.5,0.86,0.47,"8",0.35,0.35,1.7142857,0.61,0.71,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,ST Louis Cardinals,Chicago Cubs,ST Louis Cardinals,+1.5,0.12,0.23,"9",0.53,0.49,2.68,0.21,0.14,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,ST Louis Cardinals,Chicago Cubs,Chicago Cubs,-1.5,0.88,0.77,"9",0.47,0.51,1.5524862,0.79,0.86,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,New York Yankees,Toronto Blue Jays,New York Yankees,-1.5,0.85,0.7,"7",0.52,0.49,1.5376344,0.83,0.83,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,New York Yankees,Toronto Blue Jays,Toronto Blue Jays,+1.5,0.15,0.3,"7",0.48,0.51,2.73,0.17,0.17,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,Colorado Rockies,San Francisco Giants,Colorado Rockies,+1.5,0.09,0.37,"7.5",0.84,0.75,2.55,0.26,0.21,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,Colorado Rockies,San Francisco Giants,San Francisco Giants,-1.5,0.91,0.63,"7.5",0.16,0.25,1.5988024,0.74,0.79,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,Washington Nationals,New York Mets,Washington Nationals,+1.5,0.1,0.6,"7.5",0.79,0.65,2.21,0.17,0.35,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,Washington Nationals,New York Mets,New York Mets,-1.5,0.9,0.4,"7.5",0.21,0.35,1.7692307,0.83,0.65,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,+1.5,0.03,0.39,"7.5",0.45,0.61,2.31,0.2,0.18,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays,-1.5,0.97,0.61,"7.5",0.55,0.39,1.7092198,0.8,0.82,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,Miami Marlins,Cincinnati Reds,Miami Marlins,-1.5,0.69,0.18,"9",0.94,0.53,1.9803921,0.66,0.49,2026-08-16 12:00:04.492
2026-08-15,MLB,MLB,Miami Marlins,Cincinnati Reds,Cincinnati Reds,+1.5,0.31,0.82,"9",0.06,0.47,1.9523809,0.34,0.51,2026-08-16 12:00:04.492
