date,sport,home_team,away_team,team,spread,spread_handle,spread_bets,total,total_handle,total_bets,money,money_handle,money_bets,updated_at,home_team_score,away_team_score,winning_team,result,pnl
2026-08-15,MLB,Athletics,Texas Rangers,Texas Rangers,-1.5,0.77,0.35,9.5,0.71,0.42,1.6493506,0.7,0.72,2026-08-16 22:25:08.490152,3,5,Texas Rangers,Win,0.649350643157959
2026-08-15,MLB,Athletics,Texas Rangers,Athletics,+1.5,0.23,0.65,9.5,0.29,0.58,2.43,0.3,0.28,2026-08-16 22:25:08.490152,3,5,Texas Rangers,Loss,-1.0
2026-08-15,MLB,Atlanta Braves,Arizona Diamondbacks,Atlanta Braves,-1.5,0.44,0.36,9,0.23,0.63,1.7518797,0.62,0.74,2026-08-16 22:25:08.490152,3,10,Arizona Diamondbacks,Loss,-1.0
2026-08-15,MLB,Atlanta Braves,Arizona Diamondbacks,Arizona Diamondbacks,+1.5,0.56,0.64,9,0.77,0.37,2.23,0.38,0.26,2026-08-16 22:25:08.490152,3,10,Arizona Diamondbacks,Win,1.2300000190734863
2026-08-15,MLB,Chicago Cubs,St. Louis Cardinals,St. Louis Cardinals,+1.5,0.12,0.23,9,0.53,0.49,2.68,0.21,0.14,2026-08-16 22:25:08.490152,4,8,St. Louis Cardinals,Win,1.6800000667572021
2026-08-15,MLB,Chicago Cubs,St. Louis Cardinals,Chicago Cubs,-1.5,0.88,0.77,9,0.47,0.51,1.5524862,0.79,0.86,2026-08-16 22:25:08.490152,4,8,St. Louis Cardinals,Loss,-1.0
2026-08-15,MLB,Cincinnati Reds,Miami Marlins,Miami Marlins,-1.5,0.69,0.18,9,0.94,0.53,1.9803921,0.66,0.49,2026-08-16 22:25:08.490152,4,8,Miami Marlins,Win,0.9803920984268188
2026-08-15,MLB,Cincinnati Reds,Miami Marlins,Cincinnati Reds,+1.5,0.31,0.82,9,0.06,0.47,1.9523809,0.34,0.51,2026-08-16 22:25:08.490152,4,8,Miami Marlins,Loss,-1.0
2026-08-15,MLB,Cleveland Guardians,San Diego Padres,Cleveland Guardians,+1.5,0.31,0.58,8.5,0.69,0.45,1.925926,0.21,0.44,2026-08-16 22:25:08.490152,6,1,Cleveland Guardians,Win,0.9259259700775146
2026-08-15,MLB,Cleveland Guardians,San Diego Padres,San Diego Padres,-1.5,0.69,0.42,8.5,0.31,0.55,2.01,0.79,0.56,2026-08-16 22:25:08.490152,6,1,Cleveland Guardians,Loss,-1.0
2026-08-15,MLB,Detroit Tigers,Chicago White Sox,Chicago White Sox,+1.5,0.14,0.53,8,0.65,0.65,2.3,0.39,0.29,2026-08-16 22:25:08.490152,3,4,Chicago White Sox,Win,1.2999999523162842
2026-08-15,MLB,Detroit Tigers,Chicago White Sox,Detroit Tigers,-1.5,0.86,0.47,8,0.35,0.35,1.7142857,0.61,0.71,2026-08-16 22:25:08.490152,3,4,Chicago White Sox,Loss,-1.0
2026-08-15,MLB,Houston Astros,Seattle Mariners,Houston Astros,-1.5,0.81,0.36,8.5,0.18,0.41,1.8474576,0.67,0.72,2026-08-16 22:25:08.490152,5,10,Seattle Mariners,Loss,-1.0
2026-08-15,MLB,Houston Astros,Seattle Mariners,Seattle Mariners,+1.5,0.19,0.64,8.5,0.82,0.59,2.1,0.33,0.28,2026-08-16 22:25:08.490152,5,10,Seattle Mariners,Win,1.0999999046325684
2026-08-15,MLB,Los Angeles Angels,Kansas City Royals,Kansas City Royals,+1.5,0.63,0.78,8,0.48,0.49,2.42,0.49,0.38,2026-08-16 22:25:08.490152,1,0,Los Angeles Angels,Loss,-1.0
2026-08-15,MLB,Los Angeles Angels,Kansas City Royals,Los Angeles Angels,-1.5,0.37,0.22,8,0.52,0.51,1.6535947,0.51,0.62,2026-08-16 22:25:08.490152,1,0,Los Angeles Angels,Win,0.6535947322845459
2026-08-15,MLB,Los Angeles Dodgers,Milwaukee Brewers,Milwaukee Brewers,-1.5,0.26,0.2,7.5,0.16,0.4,1.8196721,0.64,0.56,2026-08-16 22:25:08.490152,1,4,Milwaukee Brewers,Win,0.8196721076965332
2026-08-15,MLB,Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,+1.5,0.74,0.8,7.5,0.84,0.6,2.14,0.36,0.44,2026-08-16 22:25:08.490152,1,4,Milwaukee Brewers,Loss,-1.0
2026-08-15,MLB,Minnesota Twins,Philadelphia Phillies,Minnesota Twins,+1.5,0.25,0.37,8,0.05,0.31,2.23,0.23,0.13,2026-08-16 22:25:08.490152,1,9,Philadelphia Phillies,Loss,-1.0
2026-08-15,MLB,Minnesota Twins,Philadelphia Phillies,Philadelphia Phillies,-1.5,0.75,0.63,8,0.95,0.69,1.7518797,0.77,0.87,2026-08-16 22:25:08.490152,1,9,Philadelphia Phillies,Win,0.7518796920776367
2026-08-15,MLB,New York Mets,Washington Nationals,New York Mets,-1.5,0.9,0.4,7.5,0.21,0.35,1.7692307,0.83,0.65,2026-08-16 22:25:08.490152,5,4,New York Mets,Win,0.7692307233810425
2026-08-15,MLB,New York Mets,Washington Nationals,Washington Nationals,+1.5,0.1,0.6,7.5,0.79,0.65,2.21,0.17,0.35,2026-08-16 22:25:08.490152,5,4,New York Mets,Loss,-1.0
2026-08-15,MLB,Pittsburgh Pirates,Boston Red Sox,Pittsburgh Pirates,+1.5,0.17,0.36,7.5,0.26,0.3,2.11,0.09,0.16,2026-08-16 22:25:08.490152,0,4,Boston Red Sox,Loss,-1.0
2026-08-15,MLB,Pittsburgh Pirates,Boston Red Sox,Boston Red Sox,-1.5,0.83,0.64,7.5,0.74,0.7,1.8403361,0.91,0.84,2026-08-16 22:25:08.490152,0,4,Boston Red Sox,Win,0.8403360843658447
2026-08-15,MLB,San Francisco Giants,Colorado Rockies,San Francisco Giants,-1.5,0.91,0.63,7.5,0.16,0.25,1.5988024,0.74,0.79,2026-08-16 22:25:08.490152,7,1,San Francisco Giants,Win,0.5988024473190308
2026-08-15,MLB,San Francisco Giants,Colorado Rockies,Colorado Rockies,+1.5,0.09,0.37,7.5,0.84,0.75,2.55,0.26,0.21,2026-08-16 22:25:08.490152,7,1,San Francisco Giants,Loss,-1.0
2026-08-15,MLB,Tampa Bay Rays,Baltimore Orioles,Baltimore Orioles,+1.5,0.03,0.39,7.5,0.45,0.61,2.31,0.2,0.18,2026-08-16 22:25:08.490152,3,4,Baltimore Orioles,Win,1.309999942779541
2026-08-15,MLB,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,-1.5,0.97,0.61,7.5,0.55,0.39,1.7092198,0.8,0.82,2026-08-16 22:25:08.490152,3,4,Baltimore Orioles,Loss,-1.0
