"date","league","home_team","away_team","team","spread","spread_handle","spread_bets","total","total_handle","total_bets","money","money_handle","money_bets","updated_at","home_team_score","away_team_score","winning_team","result","pnl"
2026-08-15,"40817",Sheffield United,Birmingham City,Birmingham City,-,0.0,0.0,-,0.0,0.0,3.3,0.24,0.25,2026-08-16 22:25:18.609,0,0,Draw,Loss,-1.0
2026-08-15,"40817",Sheffield United,Birmingham City,Sheffield United,-,0.0,0.0,-,0.0,0.0,2.25,0.76,0.75,2026-08-16 22:25:18.609,0,0,Draw,Loss,-1.0
2026-08-15,"40817",Charlton Athletic,Derby County,Charlton Athletic,-,0.0,0.0,-,0.0,0.0,2.7,0.58,0.47,2026-08-16 22:25:18.609,2,1,Charlton Athletic,Win,1.7000000476837158
2026-08-15,"40817",Charlton Athletic,Derby County,Derby County,-,0.0,0.0,-,0.0,0.0,2.75,0.42,0.53,2026-08-16 22:25:18.609,2,1,Charlton Athletic,Loss,-1.0
2026-08-15,"40031",Deportivo Alaves,Getafe,Deportivo Alaves,-,0.0,0.0,-,0.0,0.0,2.4,0.76,0.66,2026-08-16 22:25:17.009,3,0,Deportivo Alaves,Win,1.4000000953674316
2026-08-15,"40031",Deportivo Alaves,Getafe,Getafe,-,0.0,0.0,-,0.0,0.0,3.75,0.24,0.34,2026-08-16 22:25:17.009,3,0,Deportivo Alaves,Loss,-1.0
2026-08-15,"40817",Middlesbrough,Lincoln City,Lincoln City,-,0.0,0.0,-,0.0,0.0,6.5,0.03,0.02,2026-08-16 22:25:18.609,2,1,Middlesbrough,Loss,-1.0
2026-08-15,"40817",Middlesbrough,Lincoln City,Middlesbrough,-,0.0,0.0,-,0.0,0.0,1.5128205,0.97,0.98,2026-08-16 22:25:18.609,2,1,Middlesbrough,Win,0.5128204822540283
2026-08-15,"40817",Bristol City,Millwall,Bristol City,-,0.0,0.0,-,0.0,0.0,2.5,0.42,0.56,2026-08-16 22:25:18.609,0,2,Millwall,Loss,-1.0
2026-08-15,"40817",Bristol City,Millwall,Millwall,-,0.0,0.0,-,0.0,0.0,2.8,0.58,0.44,2026-08-16 22:25:18.609,0,2,Millwall,Win,1.7999999523162842
2026-08-15,"40817",Bolton Wanderers,Preston North End,Bolton Wanderers,-,0.0,0.0,-,0.0,0.0,2.35,0.81,0.7,2026-08-16 22:25:18.609,2,1,Bolton Wanderers,Win,1.3499999046325684
2026-08-15,"40817",Bolton Wanderers,Preston North End,Preston North End,-,0.0,0.0,-,0.0,0.0,3.05,0.19,0.3,2026-08-16 22:25:18.609,2,1,Bolton Wanderers,Loss,-1.0
2026-08-15,"40817",Portsmouth,Queens Park Rangers,Portsmouth,-,0.0,0.0,-,0.0,0.0,2.35,0.34,0.75,2026-08-16 22:25:18.609,1,3,Queens Park Rangers,Loss,-1.0
2026-08-15,"40817",Portsmouth,Queens Park Rangers,Queens Park Rangers,-,0.0,0.0,-,0.0,0.0,3.15,0.66,0.25,2026-08-16 22:25:18.609,1,3,Queens Park Rangers,Win,2.1500000953674316
2026-08-15,"40817",Stoke City,Swansea City,Stoke City,-,0.0,0.0,-,0.0,0.0,2.35,0.81,0.79,2026-08-16 22:25:18.609,1,2,Swansea City,Loss,-1.0
